id_Anel1,ID_Anel_Anel1,ID_Frag_1_Anel1,ID_Frag_2_Anel1,ID_Frag_3_Anel1,ID_Ponte,id_Anel2,ID_Anel_Anel2,ID_Frag_1_Anel2,ID_Frag_2_Anel2,ID_Frag_3_Anel2,smiles,lambda_max_previsto,incerteza_std
8650,44,7,6,21,15,2508,13,9,24,19,CCN(CC)C1:C(CC=CC=CC2:N:S(OC):C:C([N+](=O)O):C:2Br):C:C:S(C(=O)[O][Na]):C:1C(C)C,670.0206920888569,35.89036016441336
9402,48,25,19,11,16,2674,14,15,16,11,N#CC(C#N)=C1:S:C(CN(CC(=O)O)CC(=O)O):C(N):C:C:1C=CC=CC=CC1C(N)[SH](C(=O)[O][Na])CS1=N,667.9675636401664,32.57188738683492
9662,49,11,20,21,17,2919,15,14,23,9,CCNC1:C(N(CC)CC):C:C:C(C=CC=CC=CC=CC2(Br)C([O][Na])NON2N):S:1C(=O)O,656.0743844852989,25.36081839832762
9596,48,21,20,15,17,2698,14,21,15,4,CCC1:C:C(C=CC=CC=CC=CC2C(=C(C#N)C#N)[SH]([O][Na])C[SH]2Br):C(Br):S:C:1=C(C#N)C#N,646.8317632449371,17.674107464403807
8165,41,8,21,11,17,2847,15,24,18,10,CCOC(=O)C1:C(S(=O)(=O)[O][Na]):C:C:C(C=CC=CC=CC=CC2:O:N(N=O):C(Br):C:C:2N):S:1C(C)C,646.4319638595041,22.14568530119809
2418,13,24,5,23,15,1646,9,4,1,15,CCNC1:C(C=CC=CCC2:C:C(=C(C#N)C#N):C(N(C)C):C(CC):O:2):C(C(C)C):C:C:S:1Cl,641.6458841054667,26.719214574397153
8692,44,14,16,3,17,5907,30,15,12,10,CC1:C:C(CN(CC(=O)O)CC(=O)O):S(C(=O)O):N:C:1C=CC=CC=CC=CN1CC(S(=O)(=O)[O][Na])N(O)C1=C(C#N)C#N,639.7496541388709,34.45741463017591
6601,34,7,15,19,17,5663,29,17,3,6,CON1CC(C=CC=CC=CC=C[SH]2C([N+](=O)O)CC(C)N2C(F)(F)F)(C(=O)[O][Na])CC1=C(C#N)C#N,639.7193560825639,24.394318299366372
8153,41,16,24,19,17,6706,34,1,9,14,CCN(CC)N1CC(C(=O)O)CC1(C=CC=CC=CC=CC1:C:C(C(=O)[O][Na]):C(C(C)C):N(CN(CC(=O)O)CC(=O)O):O:1)N(C)C,630.8772131457745,31.582361263258278
2697,14,19,11,9,16,4560,23,8,5,25,CCN(CC)C1:C:C(C=CC=CC=CC2CC(N=O)C(Cl)C2=N):C(C(=O)[O][Na]):C:S:1N,630.5409660335835,33.65842410208966
8811,45,10,4,15,16,4078,21,18,26,6,CCOC(=O)C1:C(=O):S:C([N+](=O)O):C:S:1C=CC=CC=CC1:C(=C(C#N)C#N):C:C(CC):S:S:1S(=O)(=O)[O][Na],630.4325217876138,22.714608235686264
6441,33,15,17,11,17,5601,29,15,20,25,N#CC(C#N)=C1CC(N)(C=CC=CC=CC=C[SH]2(=C(C#N)C#N)CC(=N)C([O][Na])N2)C[SH]1C(F)(F)F,629.2611347527593,12.368057174944736
2740,14,20,18,21,17,7174,36,26,4,9,CCOC(=O)S1:C:C([O][Na]):C(C=CC=CC=CC=CC2OC(=O)C(CC)C2N(CC)CC):C:C:1Br,627.2539791673464,24.473848973869355
2645,14,26,25,8,17,6424,33,21,16,11,N=C1:C(=O):C(C=CC=CC=CC=CC2(Br)C(N)CSC2CN(CC(=O)O)CC(=O)O):C:C:S:1N=O,626.5694854680578,8.646417839209176
1199,6,5,19,25,16,1895,10,10,20,13,CC(=O)NN1:C:C:C(C=CC=CC=CC2:C:C(=N):C:C(C(=O)[O][Na]):B:2Cl)(S(=O)(=O)[O][Na]):C:C:1[O][Na],626.2026914166208,15.418957017207008
3547,18,24,24,22,15,2841,15,13,6,24,CC(=O)NS1:C:C([N+](=O)O):C(C(C)C):C:C:1CC=CC=CC1:N:C(C(C)C):C:S(C(C)C):C:1S(=O)(=O)O,624.8263087206263,15.033930124373104
1175,6,17,14,15,3,2567,13,7,16,21,COC1:C(C=CC(=O)CC(=O)C=CC2:C:C(=C(C#N)C#N):C:C(C(=O)O):B:2C(F)(F)F):C:C:S(Br):C:1CN(CC(=O)O)CC(=O)O,624.7935196497137,24.21592174964428
3260,17,12,19,15,3,2551,13,1,4,3,CCS1:C:C(N(C)C):C(C=CC(=O)CC(=O)C=CC2:N:C(O):C(C(=O)[O][Na]):O:C:2=C(C#N)C#N):C:C:1C,623.3854176949636,23.880485337674294
909,5,7,6,20,17,5080,26,4,20,19,CCC1C[SH](C=CC=CC=CC=CC2:C:C:C([O][Na]):C([N+](=O)O):S:2OC)C(C(=O)[O][Na])C1[O][Na],620.912440452993,42.755197823000145
4126,21,20,20,25,17,8924,45,13,16,10,CC(=O)NS1(C=CC=CC=CC=CC2:C:S:C(=N):C([O][Na]):S:2[O][Na]):C:C:C(S(=O)(=O)[O][Na]):C(CN(CC(=O)O)CC(=O)O):S:1,620.4558133822869,39.93727165540748
6412,33,14,19,15,17,5742,29,3,13,7,COC1CN(NC(C)=O)S(C)(C=CC=CC=CC=CC2C(=C(C#N)C#N)SC(C(=O)[O][Na])C2C(=O)O)C1,619.5513674683693,37.93665652775896
3552,18,4,7,8,17,3541,18,17,6,12,CCC1:N:C(C=CC=CC=CC=CN2:C:C(O):S:C([N+](=O)O):C:2C(F)(F)F):C:S(N=O):C:1OC,618.7368496101358,23.44580045769985
4104,21,21,5,14,17,5131,26,20,26,15,N#CC(C#N)=C1C[SH](C=CC=CC=CC=CC2:C:S(C(=O)O):C(Cl):C:S:2Br)C([O][Na])C1=O,618.3007916722603,39.843337961697344
8729,44,19,4,22,17,9576,48,1,15,6,CCC1:C:S(C(=O)[O][Na]):N:C(C=CC=CC=CC=C[SH]2C([N+](=O)O)CS(=C(C#N)C#N)C2N(C)C):C:1S(=O)(=O)O,618.1104626965682,42.13862818116319
9622,49,20,24,16,15,835,5,5,1,25,CC(C)C1N([O][Na])ONC1(C=CC=CCS1(Cl):C:C:C(=N):C:C:1N(C)C)CN(CC(=O)O)CC(=O)O,615.0788372365204,41.30487379117212
2530,13,18,13,14,17,5029,26,12,21,10,CCOC(=O)C1:C:C:S(NC(C)=O):C(C(=O)O):C:1C=CC=CC=CC=CS1(O)CC(S(=O)(=O)[O][Na])CC1Br,614.9749116595283,34.435328074230874
2209,12,12,20,15,7,2696,14,21,15,17,N#CC(C#N)=C1:C:C:N([O][Na]):C(O):C:1C=NC1:C:C(C(F)(F)F):C(=C(C#N)C#N):S:C:1Br,613.4251664845694,25.554009423246285
2484,13,15,5,21,17,6572,33,24,25,3,CC(C)C1SC(=N)C(C)C1C=CC=CC=CC=CC1:C:S:C(Br):C(Cl):C:1=C(C#N)C#N,612.5286443501218,27.55340369349132
8991,45,26,15,10,17,7599,38,26,15,26,N#CC(C#N)=C1C(=O)CC(C=CC=CC=CC=CC2:C:C(S(=O)(=O)[O][Na]):C:S(=C(C#N)C#N):S:2=O)S1=O,612.5131517347093,23.787702251270673
3200,16,13,16,21,17,4044,21,17,13,11,CC(=O)NN1:C:C(CN(CC(=O)O)CC(=O)O):N(Br):C:C:1C=CC=CC=CC=CS1:C:C(N):S(NC(C)=O):C(C(F)(F)F):C:1,612.3553930330829,24.749344882773322
2660,14,5,20,9,3,3504,18,23,23,13,CCNC1:S:C(NC(C)=O):C:N(C=CC(=O)CC(=O)C=CC2:C:C:S(Cl):C([O][Na]):C:2N(CC)CC):C:1NCC,611.6831910886734,17.930036630309832
8905,45,5,23,5,16,5322,27,10,15,17,CCNS1:C(Cl):C:C:C(C=CC=CC=CN2NC(S(=O)(=O)[O][Na])C(=C(C#N)C#N)C2C(F)(F)F):S:1Cl,611.1170971229192,15.811961349713707
9536,48,9,20,17,17,4237,22,5,13,26,CCN(CC)[SH]1C(C=CC=CC=CC=CC2=C(Cl)C=C(NC(C)=O)C2=O)C[SH](C(F)(F)F)C1[O][Na],610.3302821512834,29.80702137522843
67,1,11,25,7,17,6707,34,11,19,9,CCN(CC)C1CN(C(=O)[O][Na])C(N)(C=CC=CC=CC=CC2=C(OC)C(=N)C=C2N)C1,610.1285723396425,18.47780219853733
2475,13,7,2,24,16,3161,16,6,22,21,COC1:C:C:C(C=CC=CC=CN2:C:C(Br):N(S(=O)(=O)O):C:C:2[N+](=O)O):C(C(C)C):S:1[SH](=O)=O,609.9893217874016,22.505205606597535
5378,27,21,24,19,16,5690,29,15,16,23,CCNC1C(CN(CC(=O)O)CC(=O)O)CN[SH]1(C=CC=CC=CC1NN(Br)C(C(C)C)C1C(=O)[O][Na])=C(C#N)C#N,608.4338585426851,24.589432121037127
427,3,6,22,9,17,908,5,20,21,3,CCN(CC)C1:C(S(=O)(=O)O):C:C([N+](=O)O):N:C:1C=CC=CC=CC=CS1:C:C(C):C:C(Br):C:1[O][Na],607.0718040664698,14.626035244633384
8667,44,10,4,15,17,4686,24,18,15,17,CCOC(=O)C1CC(=C(C#N)C#N)C(C(F)(F)F)N1C=CC=CC=CC=CC1:C(=C(C#N)C#N):C:C:S(CC):N:1S(=O)(=O)[O][Na],606.709727412492,12.15744388812209
5078,26,15,13,9,16,4342,22,23,1,15,CCNC1=C(C=CC=CC=CC2(N(CC)CC)SC(=C(C#N)C#N)CC2NC(C)=O)C(=C(C#N)C#N)C=C1N(C)C,606.563259217706,20.4044423911828
4686,24,18,15,17,17,8573,43,10,9,9,CCOC(=O)C1CC(=C(C#N)C#N)C(C=CC=CC=CC=CN2:C:C(N(CC)CC):C:C(N(CC)CC):N:2S(=O)(=O)[O][Na])(C(F)(F)F)N1,603.808869150804,19.310384643605737
403,3,14,13,6,17,6717,34,18,21,12,CCOC(=O)C1(C=CC=CC=CC=CC2:C:C([N+](=O)O):C(NC(C)=O):C(C(=O)O):N:2)CC(O)CN1Br,603.2761708504397,19.704043488019924
2592,13,17,5,3,16,9428,48,20,13,11,CC(=O)NC1SCS(C=CC=CC=CC2:C:C:C(C(F)(F)F):S(Cl):C:2C)([O][Na])C1N,603.0920519312189,22.34301415833462
7126,36,15,14,14,3,4120,21,4,23,20,CCNC1:C([O][Na]):S:C:C:S:1(C=CC(=O)CC(=O)C=CC1(C(=O)O)C(=C(C#N)C#N)OCC1C(=O)O)CC,601.1411795576655,25.414209254543653
2102,11,20,23,14,15,168,1,21,19,25,CCNC1:N:C(C(=O)O):C:C(C=CC=CCC2=CC(Br)=C(C(=O)[O][Na])C2=N):C:1[O][Na],601.0128181013031,40.21213497034544
5290,27,19,23,25,17,7493,38,23,21,18,CCNN1CC(=N)C(C=CC=CC=CC=CC2CC(C(=O)OCC)C(Br)[SH]2NCC)N1C(=O)[O][Na],600.8046702492657,10.858343284918371
8602,44,12,20,21,17,5608,29,21,25,17,N=C1NS(Br)(C=CC=CC=CC=CC2:C(Br):C:C([O][Na]):S:N:2O)CC1C(F)(F)F,600.749014064913,39.67610693276597
5411,28,11,2,22,17,826,5,9,10,5,CCN(CC)C1:C(S(=O)(=O)[O][Na]):C(Cl):C:C:S:1C=CC=CC=CC=CC1ON(N)C([SH](=O)=O)C1S(=O)(=O)O,600.4099647994783,21.16310311112519
5078,26,15,13,9,15,5166,26,19,13,15,CCN(CC)C1(C=CC=CC[SH]2C(=C(C#N)C#N)CC(NC(C)=O)C2C(=O)[O][Na])SC(=C(C#N)C#N)CC1NC(C)=O,599.6759744563237,27.466211881334008
360,2,15,24,21,17,1874,10,4,6,19,CCC1(C=CC=CC=CC=CC2:C(Br):C:C(C(C)C):C:C:2=C(C#N)C#N):C:C:N(C(=O)[O][Na]):C([N+](=O)O):C:1,599.2794310859663,19.656128423313522
2012,11,6,15,13,17,6920,35,7,1,16,COC1NC(N(C)C)C(CN(CC(=O)O)CC(=O)O)C1C=CC=CC=CC=CC1:C:C:N(NC(C)=O):C(=C(C#N)C#N):C:1[N+](=O)O,598.9121558730747,38.58414914630293
5062,26,23,14,1,13,2660,14,5,20,9,CCN[SH]1CC(C(=O)O)CC1(C=CC=CC1:C:C(N(CC)CC):C([O][Na]):S(Cl):C:1)N(C)C,598.6487199471946,45.99019016293399
8258,42,16,26,20,17,9485,48,6,9,22,CCN(CC)C1SC([N+](=O)O)[SH](C=CC=CC=CC=CC2:O:S(CN(CC(=O)O)CC(=O)O):C:C(=O):C:2[O][Na])C1S(=O)(=O)O,598.633029833797,34.9143451300657
8701,44,11,2,10,16,2976,15,20,9,16,CCN(CC)C1:C(CN(CC(=O)O)CC(=O)O):C:C:C(C=CC=CC=CC2:C(S(=O)(=O)[O][Na]):C([SH](=O)=O):C:S:N:2N):S:1[O][Na],598.3093236948146,27.91230637832764
6970,35,23,20,2,17,1779,9,12,17,20,CCNC1CC(C=CC=CC=CC=CC2(O):C:C:C([O][Na]):C(C(F)(F)F):O:2)C([SH](=O)=O)N1[O][Na],597.8743845500971,36.98454798100283
2945,15,25,10,15,17,6522,33,1,17,20,CN(C)C1(C=CC=CC=CC=CC2:C(=C(C#N)C#N):C:C(S(=O)(=O)[O][Na]):S:C:2=N)C[SH](C(F)(F)F)CC1[O][Na],597.8560093022603,20.850870196869906
8253,42,5,25,21,17,5303,27,11,19,17,N=C1:C:S(Cl):O:C(C=CC=CC=CC=CN2C(C(F)(F)F)C(C(=O)[O][Na])CN2N):C:1Br,597.7702369504127,30.322049457451477
3484,18,24,14,16,3,2810,15,9,6,17,CCN(CC)S1:C:C([N+](=O)O):C(C(F)(F)F):C:C:1C=CC(=O)CC(=O)C=CC1:C:S(CN(CC(=O)O)CC(=O)O):C(C(=O)O):C(C(C)C):N:1,597.6974427828103,29.687304972669335
8626,44,23,5,24,17,6648,34,14,17,6,CCNN1:S:C(Cl):C(C(C)C):C:C:1C=CC=CC=CC=CC1(C(=O)O)CC([N+](=O)O)CN1C(F)(F)F,597.5077078948582,25.26220542844666
400,2,26,15,6,15,2246,12,4,19,1,CCC1(CC=CC=CC2:C:C([N+](=O)O):C(=C(C#N)C#N):C(=O):C:2):C:C(N(C)C):C:C:N:1C(=O)[O][Na],597.3075260286535,21.296518701550877
1065,6,24,23,15,17,9513,48,11,5,20,CCNC1:C(C(C)C):B:C(C=CC=CC=CC=CS2(N)CSC(Cl)C2[O][Na]):C:C:1=C(C#N)C#N,596.992998411284,24.428537363142258
6477,33,20,9,20,16,1849,10,20,21,16,CCN(CC)C1C([O][Na])C(C=CC=CC=CC2([O][Na]):C:C:N(CN(CC(=O)O)CC(=O)O):C(Br):C:2)C[SH]1[O][Na],595.9314108223188,29.85321334711614
4345,22,5,4,15,16,2912,15,8,15,17,CCC1=CC(Cl)=C(C=CC=CC=CC2(N=O):C:C(C(F)(F)F):C:C:S:2=C(C#N)C#N)C1=C(C#N)C#N,595.7779100089845,28.34490753534478
5107,26,23,14,13,17,8904,45,26,18,9,CCN[SH]1C(C=CC=CC=CC=CS2(=O):C:C(N(CC)CC):C:C:S:2C(=O)OCC)CC(NC(C)=O)C1C(=O)O,595.630643896549,21.964539872547995
3185,16,19,7,16,16,945,5,11,25,13,CON1:C:C:N(C(=O)[O][Na]):C(C=CC=CC=CS2(N):C:C:C(NC(C)=O):C:C:2=N):C:1CN(CC(=O)O)CC(=O)O,595.4126773491882,29.44042666251575
8718,44,23,4,16,17,2041,11,20,22,15,CCNN1:S:C(CC):C(CN(CC(=O)O)CC(=O)O):C:C:1C=CC=CC=CC=CC1:C:C(=C(C#N)C#N):C:N(S(=O)(=O)O):C:1[O][Na],594.9972174019676,16.657818070400417
808,5,19,14,24,3,2891,15,9,4,9,CCC1:C:C(N(CC)CC):C:C(C=CC(=O)CC(=O)C=CC2:C(C(C)C):C:C(C(=O)O):C:S:2C(=O)[O][Na])(N(CC)CC):S:1,594.8300577265313,30.924744706771783
2623,14,14,20,22,17,7554,38,22,10,14,O=C(O)C1C(C=CC=CC=CC=CC2:C:C:S(C(=O)O):C([O][Na]):C:2S(=O)(=O)O)SC(S(=O)(=O)O)C1S(=O)(=O)[O][Na],594.7938056679028,35.2169356578985
4657,24,14,21,3,3,2660,14,5,20,9,CCN(CC)C1:C:C(C=CC(=O)CC(=O)C=CC2C(C)CC(Br)N2C(=O)O):C:S(Cl):C:1[O][Na],594.7658194266212,23.719136144668294
877,5,8,6,23,16,7512,38,14,10,14,CCNC1:C:C([N+](=O)O):C:S(N=O):C:1C=CC=CC=CC1(C(=O)O)C(C(=O)O)CC[SH]1S(=O)(=O)[O][Na],593.7304451953577,37.01659989849372
4280,22,15,18,13,17,4588,23,20,24,21,CCOC(=O)C1=C(NC(C)=O)C(C=CC=CC=CC=CC2C([O][Na])CC(C(C)C)C2Br)=CC1=C(C#N)C#N,593.5300374694059,25.280794231396655
5035,26,20,11,23,17,6678,34,16,1,18,CCNC1C(C=CC=CC=CC=CC2(CN(CC(=O)O)CC(=O)O)CCC(C(=O)OCC)N2N(C)C)SC([O][Na])C1N,593.328112407244,18.413835098489127
8958,45,21,21,5,17,9416,48,15,6,3,CC1C([N+](=O)O)SC(=C(C#N)C#N)[SH]1C=CC=CC=CC=CC1:C(Cl):C:C:S(Br):S:1Br,592.7706855726576,37.68408351686312
1546,8,18,15,6,3,6298,32,19,17,21,CCOC(=O)C1:C:O:C(=C(C#N)C#N):C([N+](=O)O):C:1C=CC(=O)CC(=O)C=C[SH]1CC(Br)N(C(F)(F)F)C1C(=O)[O][Na],592.19005658683,18.87632627357935
2976,15,20,9,16,13,4680,24,5,13,16,CCN(CC)C1:C(CN(CC(=O)O)CC(=O)O):C:C(C=CC=CN2C(Cl)CC(NC(C)=O)C2CN(CC(=O)O)CC(=O)O):C:S:1[O][Na],592.1549144990679,32.22954313519304
2411,13,4,13,20,19,8978,45,16,11,6,CCC1:C:C:S(NC(C)=O):C([O][Na]):C:1C(=N)S1(CN(CC(=O)O)CC(=O)O):C:C:C([N+](=O)O):C(N):S:1,591.8851654705284,27.782165559392734
5051,26,20,3,5,16,6743,34,14,9,4,CCC1CCN(N(CC)CC)C1(C=CC=CC=CC1C(Cl)C(C)C[SH]1[O][Na])C(=O)O,591.4180235567595,26.779522304361855
2990,15,18,1,4,17,7292,37,20,17,2,CCOC(=O)C1:C(C=CC=CC=CC=CC2([O][Na])COC(C(F)(F)F)C2[SH](=O)=O):C(CC):C:C:S:1N(C)C,591.1273457585476,30.147401513308616
8417,43,8,22,23,17,7585,38,13,17,22,CCNC1:C:C(C=CC=CC=CC=CC2(NC(C)=O)SCC(C(F)(F)F)C2S(=O)(=O)O):N(N=O):N(S(=O)(=O)O):C:1,591.0081480016222,17.164866809006572
8810,45,15,2,17,17,5759,29,17,11,20,N#CC(C#N)=S1:S:C(C=CC=CC=CC=C[SH]2C([O][Na])CC(N)N2C(F)(F)F):C(C(F)(F)F):C:C:1[SH](=O)=O,590.7268344696843,31.329891534136667
2974,15,9,8,13,17,2927,15,6,10,14,CCN(CC)C1:S:C(N=O):C(NC(C)=O):C:C:1C=CC=CC=CC=CC1:C:C(C(=O)O):C(S(=O)(=O)[O][Na]):C:S:1[N+](=O)O,590.0945191719213,18.877780888959954
2411,13,4,13,20,3,7402,38,19,5,1,CCC1:C:C:S(NC(C)=O):C([O][Na]):C:1C=CC(=O)CC(=O)C=CC1(C(=O)[O][Na])CC(N(C)C)C[SH]1Cl,589.9419423560861,36.374613296613624
7460,38,3,3,19,16,7267,37,24,15,20,CC1SCC(C=CC=CC=CC2(C(C)C)C(=C(C#N)C#N)OCC2[O][Na])(C(=O)[O][Na])C1C,589.9089723778383,9.11273846945186
8976,45,13,15,19,17,8798,44,24,23,25,CCNC1:C:S(C(C)C):N(C=CC=CC=CC=CC2:C(C(=O)[O][Na]):C:C(=C(C#N)C#N):S:S:2NC(C)=O):C:C:1=N,589.7603331584139,6.1708603392077634
842,5,9,3,17,16,8560,43,2,13,13,CCN(CC)S1:C(C):C:C(C(F)(F)F):C:C:1C=CC=CC=CN1:C:C:C(NC(C)=O):C(NC(C)=O):N:1[SH](=O)=O,589.6102401674505,26.715343259885202
2954,15,12,19,1,17,2107,11,14,17,5,CN(C)C1:C(C=CC=CC=CC=CC2:C:C:C(Cl):N(C(F)(F)F):C:2C(=O)O):C:S(O):C:C:1C(=O)[O][Na],588.8504371835454,24.752173670828665
3215,17,12,2,16,6,921,5,10,22,16,O=C(O)CN(CC(=O)O)CC1:C:C:C(S(=O)(=O)O):S(=CC2:C(CN(CC(=O)O)CC(=O)O):O:C([SH](=O)=O):C:N:2O)(S(=O)(=O)[O][Na]):C:1,588.3500619148044,34.269924224095604
5661,29,21,3,6,15,350,2,10,14,8,CN1CCC(C=CC=CCC2:C:C(N=O):C:C(C(=O)O):C:2S(=O)(=O)[O][Na])([N+](=O)O)[SH]1Br,587.6563508990743,8.108242834822383
2576,13,25,9,24,17,223,2,20,1,13,CCN(CC)C1:S:C(C(C)C):C(C=CC=CC=CC=CC2:C:C(NC(C)=O):C:C(N(C)C):C:2[O][Na]):C:C:1=N,587.6383357758308,24.353799723093115
1020,6,8,7,25,20,9545,48,15,16,19,COC1:C:C(=N):C:C(C=C(C)C=C[SH]2(=C(C#N)C#N)CC(C(=O)[O][Na])SC2CN(CC(=O)O)CC(=O)O):B:1N=O,587.37573989485,25.162834999706888
2616,14,4,4,7,15,8451,43,23,9,19,CCNN1:C(N(CC)CC):C:C(C(=O)[O][Na]):C:N:1CC=CC=CC1:C:C:S(CC):C(CC):C:1OC,587.2949979230387,26.479735341304334
871,5,19,5,19,13,1944,10,16,21,12,O=C(O)CN(CC(=O)O)CC1(C=CC=CC2:C:C:C(C(=O)[O][Na]):C(Cl):S:2C(=O)[O][Na]):C:C:N(Br):C(O):C:1,587.0984304097408,25.032665435275955
2411,13,4,13,20,2,6888,35,16,24,21,CCC1:C:C:S(NC(C)=O):C([O][Na]):C:1C=CC(=O)C1(CN(CC(=O)O)CC(=O)O)CN(C(C)C)CC1Br,586.9803887153354,34.420753274039285
4079,21,13,14,8,17,1962,10,18,10,11,CCOC(=O)C1:C:C(C=CC=CC=CC=CC2:S:C(NC(C)=O):C(C(=O)O):S:C:2N=O):C:C(N):N:1S(=O)(=O)[O][Na],586.955057863016,15.378554264934007
138,1,21,15,3,16,2496,13,10,18,1,CCOC(=O)S1:C:C:C(C=CC=CC=CC2=C(C)C(=C(C#N)C#N)C=C2Br)(S(=O)(=O)[O][Na]):C:C:1N(C)C,586.828812169427,28.711196436458568
83,1,15,6,3,13,6943,35,6,15,21,CC1=C([N+](=O)O)C(=C(C#N)C#N)C=C1C=CC=CC1([N+](=O)O)CCN(Br)C1=C(C#N)C#N,586.746434409761,18.368299199081672
5642,29,12,15,5,15,2786,14,8,6,23,CCNC1:C:C(CC=CC=CC2(Cl)CC(=C(C#N)C#N)N[SH]2O):C(N=O):S([N+](=O)O):C:1,586.4671646508941,25.955117589490182
2056,11,20,20,6,8,4453,23,21,1,9,CCN(CC)C1C(=CC=C2:C:C([O][Na]):N([O][Na]):C([N+](=O)O):C:2)CC(Br)C1N(C)C,586.2654708298785,26.34491808555835
8469,43,21,26,3,17,6511,33,4,13,10,CCC1(C=CC=CC=CC=CC2:C:C(C):C(=O):N:N:2Br)C[SH](NC(C)=O)CC1S(=O)(=O)[O][Na],586.0983520363218,21.260942928099468
5779,29,1,11,20,16,2279,12,5,17,24,CC(C)C1:C:C:C(Cl)(C=CC=CC=CC2([O][Na])CCN(N)[SH]2N(C)C):N(C(F)(F)F):C:1,585.9906609354767,6.641938087894755
4641,24,1,20,10,17,5879,30,10,19,25,CN(C)N1C([O][Na])CC(S(=O)(=O)[O][Na])C1C=CC=CC=CC=CN1CN(S(=O)(=O)[O][Na])C(C(=O)[O][Na])C1=N,585.9128042557463,25.39549358252186
853,5,20,15,19,20,7542,38,15,9,20,CCN(CC)C1CC([O][Na])C(C=CC(C)=CC2:C:C(C(=O)[O][Na]):C:C(=C(C#N)C#N):S:2[O][Na])S1=C(C#N)C#N,585.8419891467862,21.215654252629207
2420,13,24,21,11,3,8908,45,10,8,6,CC(C)C1:C(Br):C:S(N):C:C:1C=CC(=O)CC(=O)C=CS1(S(=O)(=O)[O][Na]):C:C([N+](=O)O):C:C(N=O):S:1,585.7085015169724,16.267968398289
2895,15,24,5,21,15,5783,29,15,15,18,CCOC(=O)C1C(=C(C#N)C#N)CN[SH]1(CC=CC=CC1:C:S(C(C)C):C(Cl):C:C:1Br)=C(C#N)C#N,585.2041680321252,27.338431161370043
2263,12,14,4,9,18,1983,10,15,10,10,CCC1:C:N:C(C(=O)O):C(NCC2:C:C(S(=O)(=O)[O][Na]):N(S(=O)(=O)[O][Na]):C(=C(C#N)C#N):C:2):C:1N(CC)CC,584.9374546198542,9.274284567085138
9521,48,19,9,9,16,7341,37,9,25,10,CCN(CC)C1OC(=N)C(S(=O)(=O)[O][Na])C1C=CC=CC=CC1C(N(CC)CC)[SH](N(CC)CC)C[SH]1C(=O)[O][Na],584.8058823701325,25.522656186472176
2618,14,11,6,1,17,5646,29,17,20,4,CCC1CC([O][Na])NS1(C=CC=CC=CC=CC1:C:C(N(C)C):S([N+](=O)O):C:C:1N)C(F)(F)F,584.3085020055199,20.24244963564404
9733,49,7,20,4,17,7546,38,1,23,10,CCNC1C(S(=O)(=O)[O][Na])CC(C=CC=CC=CC=CC2(CC)CN([O][Na])ON2OC)[SH]1N(C)C,584.1446145729712,21.23990750402306
8889,45,9,1,18,17,4669,24,8,17,5,CCOC(=O)C1:C:C(C=CC=CC=CC=CN2C(N=O)CC(C(F)(F)F)C2Cl):S(N(CC)CC):S(N(C)C):C:1,583.9787560480366,23.25248525727669
8813,45,26,17,17,1,9443,48,16,10,16,O=C(O)CN(CC(=O)O)CC1C[SH](S(=O)(=O)[O][Na])CS1(CN(CC(=O)O)CC(=O)O)N=NC1:S:S(=O):C(C(F)(F)F):C:C:1C(F)(F)F,583.8536897048697,22.094170714839624
6562,33,6,16,16,3,2634,14,16,5,1,CN(C)C1:C:C(C=CC(=O)CC(=O)C=CC2(CN(CC(=O)O)CC(=O)O)CC[SH]([N+](=O)O)C2CN(CC(=O)O)CC(=O)O):C:S(CN(CC(=O)O)CC(=O)O):C:1Cl,583.5165144030389,24.08737958189712
8651,44,23,2,3,6,5127,26,19,9,15,CCNN1:S:C([SH](=O)=O):C:C(C):C:1C=S1C(=C(C#N)C#N)C(N(CC)CC)CC1C(=O)[O][Na],583.4526426273791,22.398381312806148
8522,43,10,2,25,17,155,1,21,11,25,N=C1C=C(N)C(Br)=C1C=CC=CC=CC=CC1:N:N:C(S(=O)(=O)[O][Na]):C([SH](=O)=O):C:1=N,583.0668895786619,30.735495776146866
6394,32,10,13,23,17,6887,35,6,15,5,CCNC1(C=CC=CC=CC=CC2([N+](=O)O)CNC(=C(C#N)C#N)C2Cl)CN(NC(C)=O)C(S(=O)(=O)[O][Na])S1,582.9164970890221,19.611072505834247
5890,30,23,16,19,13,2970,15,14,2,20,CCNN1C(CN(CC(=O)O)CC(=O)O)NC(C(=O)[O][Na])C1C=CC=CC1(C(=O)O):C:C:C([O][Na]):C([SH](=O)=O):S:1,582.8788732872819,30.190492418918815
5190,26,23,10,24,3,2903,15,16,6,5,CCNC1CC(S(=O)(=O)[O][Na])C(C=CC(=O)CC(=O)C=CC2:C:C(Cl):C:C([N+](=O)O):S:2CN(CC(=O)O)CC(=O)O)(C(C)C)S1,582.8421863923438,30.359955848300892
2884,15,21,23,8,16,6239,32,17,11,20,CCNS1:C:C(N=O):C:C(C=CC=CC=CS2(C(F)(F)F)CCN([O][Na])C2N):C:1Br,582.5316646043436,23.611214591631505
3,1,15,5,2,15,9421,48,6,17,10,N#CC(C#N)=C1C=C(C=CC=CC[SH]2C([N+](=O)O)SC(C(F)(F)F)C2S(=O)(=O)[O][Na])C([SH](=O)=O)=C1Cl,582.5136370122138,30.484786403397425
